ticket_id,customer_id,created_at,resolved_at,category,satisfaction_score
TICK_000001,CUST_00001,2023-05-24 00:00:00,,account,
TICK_000002,CUST_00002,2024-12-31 00:00:00,2025-01-03 00:00:00,general,3.0
TICK_000003,CUST_00002,2024-12-31 00:00:00,2025-01-03 00:00:00,technical,4.0
TICK_000004,CUST_00002,2024-12-31 00:00:00,2025-01-05 00:00:00,technical,5.0
TICK_000005,CUST_00002,2024-12-31 00:00:00,,billing,
TICK_000006,CUST_00002,2024-12-31 00:00:00,2025-01-01 00:00:00,feature_request,1.0
TICK_000007,CUST_00002,2024-12-31 00:00:00,2025-01-06 00:00:00,billing,4.0
TICK_000008,CUST_00003,2024-01-11 00:00:00,2024-01-27 00:00:00,billing,4.0
TICK_000009,CUST_00004,2022-02-19 00:00:00,2022-03-01 00:00:00,technical,5.0
TICK_000010,CUST_00004,2022-01-20 00:00:00,2022-01-23 00:00:00,technical,3.0
TICK_000011,CUST_00005,2021-04-29 00:00:00,2021-05-04 00:00:00,billing,1.0
TICK_000012,CUST_00006,2021-01-28 00:00:00,2021-02-03 00:00:00,technical,5.0
TICK_000013,CUST_00006,2021-02-08 00:00:00,2021-02-15 00:00:00,billing,2.0
TICK_000014,CUST_00006,2024-10-31 00:00:00,2024-11-07 00:00:00,technical,5.0
TICK_000015,CUST_00007,2020-11-11 00:00:00,2020-11-14 00:00:00,billing,5.0
TICK_000016,CUST_00010,2022-07-23 00:00:00,,billing,
TICK_000017,CUST_00011,2024-02-25 00:00:00,,general,
TICK_000018,CUST_00011,2020-12-29 00:00:00,2021-01-12 00:00:00,technical,3.0
TICK_000019,CUST_00012,2024-12-31 00:00:00,2025-01-09 00:00:00,technical,1.0
TICK_000020,CUST_00013,2023-06-08 00:00:00,2023-06-23 00:00:00,general,3.0
TICK_000021,CUST_00015,2023-06-17 00:00:00,2023-06-18 00:00:00,general,4.0
TICK_000022,CUST_00016,2024-08-28 00:00:00,2024-09-03 00:00:00,billing,1.0
TICK_000023,CUST_00017,2021-02-08 00:00:00,2021-02-22 00:00:00,billing,3.0
TICK_000024,CUST_00017,2022-06-05 00:00:00,2022-06-10 00:00:00,billing,4.0
TICK_000025,CUST_00017,2023-10-30 00:00:00,2023-11-15 00:00:00,technical,3.0
TICK_000026,CUST_00017,2023-03-05 00:00:00,2023-03-07 00:00:00,technical,5.0
TICK_000027,CUST_00018,2022-08-21 00:00:00,2022-08-24 00:00:00,billing,4.0
TICK_000028,CUST_00019,2021-12-27 00:00:00,2022-01-10 00:00:00,account,5.0
TICK_000029,CUST_00019,2021-05-01 00:00:00,2021-05-10 00:00:00,account,4.0
TICK_000030,CUST_00020,2020-11-07 00:00:00,,technical,
TICK_000031,CUST_00022,2021-04-06 00:00:00,,general,
TICK_000032,CUST_00023,2024-02-15 00:00:00,2024-02-16 00:00:00,general,3.0
TICK_000033,CUST_00023,2022-06-20 00:00:00,,billing,
TICK_000034,CUST_00023,2023-07-20 00:00:00,2023-07-26 00:00:00,account,4.0
TICK_000035,CUST_00024,2020-10-26 00:00:00,2020-10-27 00:00:00,feature_request,5.0
TICK_000036,CUST_00024,2022-08-22 00:00:00,,technical,
TICK_000037,CUST_00025,2022-10-28 00:00:00,,technical,
TICK_000038,CUST_00025,2023-09-22 00:00:00,2023-09-26 00:00:00,technical,1.0
TICK_000039,CUST_00026,2024-10-24 00:00:00,2024-12-03 00:00:00,general,4.0
TICK_000040,CUST_00026,2023-08-04 00:00:00,2023-08-05 00:00:00,technical,4.0
TICK_000041,CUST_00026,2023-03-03 00:00:00,2023-03-09 00:00:00,account,2.0
TICK_000042,CUST_00026,2023-07-02 00:00:00,,feature_request,
TICK_000043,CUST_00029,2024-03-23 00:00:00,2024-04-18 00:00:00,account,2.0
TICK_000044,CUST_00029,2023-05-30 00:00:00,,billing,
TICK_000045,CUST_00029,2023-08-07 00:00:00,2023-08-09 00:00:00,account,5.0
TICK_000046,CUST_00029,2023-12-07 00:00:00,2023-12-10 00:00:00,billing,4.0
TICK_000047,CUST_00030,2021-12-12 00:00:00,2021-12-19 00:00:00,general,2.0
TICK_000048,CUST_00030,2022-04-26 00:00:00,2022-05-02 00:00:00,billing,3.0
TICK_000049,CUST_00030,2024-12-24 00:00:00,2024-12-27 00:00:00,account,3.0
TICK_000050,CUST_00032,2022-05-18 00:00:00,2022-05-26 00:00:00,general,3.0
TICK_000051,CUST_00032,2023-03-06 00:00:00,2023-03-13 00:00:00,technical,4.0
TICK_000052,CUST_00032,2021-03-08 00:00:00,,feature_request,
TICK_000053,CUST_00033,2021-03-26 00:00:00,2021-04-02 00:00:00,account,4.0
TICK_000054,CUST_00034,2024-12-29 00:00:00,2025-01-03 00:00:00,technical,5.0
TICK_000055,CUST_00034,2024-12-27 00:00:00,2024-12-28 00:00:00,general,3.0
TICK_000056,CUST_00034,2024-12-24 00:00:00,,billing,
TICK_000057,CUST_00034,2024-12-19 00:00:00,,billing,
TICK_000058,CUST_00035,2024-12-31 00:00:00,2025-01-02 00:00:00,feature_request,5.0
TICK_000059,CUST_00037,2021-12-23 00:00:00,2022-01-01 00:00:00,technical,3.0
TICK_000060,CUST_00037,2024-06-26 00:00:00,,technical,
TICK_000061,CUST_00038,2021-11-20 00:00:00,2021-11-28 00:00:00,technical,5.0
TICK_000062,CUST_00038,2024-03-15 00:00:00,2024-03-18 00:00:00,account,1.0
TICK_000063,CUST_00038,2021-10-12 00:00:00,2021-10-13 00:00:00,technical,1.0
TICK_000064,CUST_00039,2022-08-07 00:00:00,2022-08-18 00:00:00,account,5.0
TICK_000065,CUST_00040,2023-07-04 00:00:00,,technical,
TICK_000066,CUST_00040,2024-12-17 00:00:00,,account,
TICK_000067,CUST_00040,2021-06-14 00:00:00,2021-06-15 00:00:00,billing,5.0
TICK_000068,CUST_00041,2022-05-17 00:00:00,,account,
TICK_000069,CUST_00042,2023-08-26 00:00:00,2023-09-11 00:00:00,technical,4.0
TICK_000070,CUST_00044,2024-10-28 00:00:00,2024-10-29 00:00:00,account,4.0
TICK_000071,CUST_00045,2024-07-28 00:00:00,2024-07-31 00:00:00,billing,4.0
TICK_000072,CUST_00045,2022-02-15 00:00:00,2022-02-19 00:00:00,account,5.0
TICK_000073,CUST_00045,2021-10-08 00:00:00,,account,
TICK_000074,CUST_00046,2024-06-24 00:00:00,2024-06-25 00:00:00,billing,5.0
TICK_000075,CUST_00046,2024-06-04 00:00:00,2024-06-05 00:00:00,account,4.0
TICK_000076,CUST_00047,2024-02-21 00:00:00,2024-03-01 00:00:00,technical,3.0
TICK_000077,CUST_00048,2021-07-14 00:00:00,2021-08-04 00:00:00,account,4.0
TICK_000078,CUST_00048,2021-05-09 00:00:00,,general,
TICK_000079,CUST_00048,2023-08-30 00:00:00,2023-09-05 00:00:00,technical,1.0
TICK_000080,CUST_00048,2022-02-10 00:00:00,2022-02-22 00:00:00,account,1.0
TICK_000081,CUST_00049,2023-07-12 00:00:00,2023-07-16 00:00:00,feature_request,3.0
TICK_000082,CUST_00050,2021-01-22 00:00:00,2021-01-28 00:00:00,technical,3.0
TICK_000083,CUST_00050,2023-04-15 00:00:00,2023-04-16 00:00:00,technical,3.0
TICK_000084,CUST_00051,2024-12-31 00:00:00,2025-01-21 00:00:00,billing,2.0
TICK_000085,CUST_00051,2024-12-31 00:00:00,2025-03-03 00:00:00,technical,2.0
TICK_000086,CUST_00052,2023-07-14 00:00:00,2023-07-27 00:00:00,technical,2.0
TICK_000087,CUST_00052,2024-09-17 00:00:00,2024-09-18 00:00:00,technical,4.0
TICK_000088,CUST_00052,2023-01-24 00:00:00,2023-01-26 00:00:00,general,1.0
TICK_000089,CUST_00053,2024-10-05 00:00:00,2024-10-17 00:00:00,billing,4.0
TICK_000090,CUST_00053,2024-12-09 00:00:00,,account,
TICK_000091,CUST_00053,2024-11-27 00:00:00,,technical,
TICK_000092,CUST_00053,2024-10-25 00:00:00,2024-10-26 00:00:00,account,4.0
TICK_000093,CUST_00054,2024-10-20 00:00:00,2024-10-25 00:00:00,account,4.0
TICK_000094,CUST_00054,2024-06-02 00:00:00,2024-06-09 00:00:00,billing,4.0
TICK_000095,CUST_00054,2024-04-21 00:00:00,2024-04-23 00:00:00,feature_request,5.0
TICK_000096,CUST_00056,2024-11-02 00:00:00,2024-11-03 00:00:00,general,2.0
TICK_000097,CUST_00056,2024-05-12 00:00:00,2024-05-13 00:00:00,billing,5.0
